benchmark,tier,method,seed,instance_id,eval_mode,solved,steps,optimal_steps,rollouts_to_solve,final_entropy,provenance
rush_hour,d10,cnn,0,d10_p10,greedy,1,15.0,10,,,trusted
rush_hour,d10,cnn,0,d10_p10,stochastic,1,15.1,10,,,trusted
rush_hour,d10,hrep,0,d10_p11,greedy,1,18.0,10,,,trusted
rush_hour,d10,hrep,0,d10_p11,stochastic,1,18.0,10,,,trusted
rush_hour,d10,vrep,0,d10_p11,greedy,1,18.0,10,,,trusted
rush_hour,d10,vrep,0,d10_p11,stochastic,1,18.0,10,,,trusted
rush_hour,d10,gnn,0,d10_p11,greedy,1,18.0,10,,,trusted
rush_hour,d10,gnn,0,d10_p11,stochastic,1,18.1,10,,,trusted
rush_hour,d10,mlp,0,d10_p11,greedy,1,20.0,10,,,trusted
rush_hour,d10,mlp,0,d10_p11,stochastic,1,20.2,10,,,trusted
rush_hour,d10,cnn,0,d10_p11,greedy,1,18.0,10,,,trusted
rush_hour,d10,cnn,0,d10_p11,stochastic,1,18.0,10,,,trusted
rush_hour,d10,hrep,0,d10_p12,greedy,1,15.0,10,,,trusted
rush_hour,d10,hrep,0,d10_p12,stochastic,1,15.2,10,,,trusted
rush_hour,d10,vrep,0,d10_p12,greedy,1,15.0,10,,,trusted
rush_hour,d10,vrep,0,d10_p12,stochastic,1,15.2,10,,,trusted
rush_hour,d10,gnn,0,d10_p12,greedy,1,16.0,10,,,trusted
rush_hour,d10,gnn,0,d10_p12,stochastic,1,16.1,10,,,trusted
rush_hour,d10,mlp,0,d10_p12,greedy,1,15.0,10,,,trusted
rush_hour,d10,mlp,0,d10_p12,stochastic,1,15.1,10,,,trusted
rush_hour,d10,cnn,0,d10_p12,greedy,1,15.0,10,,,trusted
rush_hour,d10,cnn,0,d10_p12,stochastic,1,15.0,10,,,trusted
rush_hour,d10,hrep,0,d10_p13,greedy,1,17.0,10,,,trusted
rush_hour,d10,hrep,0,d10_p13,stochastic,1,17.2,10,,,trusted
rush_hour,d10,vrep,0,d10_p13,greedy,1,17.0,10,,,trusted
rush_hour,d10,vrep,0,d10_p13,stochastic,1,17.1,10,,,trusted
rush_hour,d10,gnn,0,d10_p13,greedy,0,,10,,,trusted
rush_hour,d10,gnn,0,d10_p13,stochastic,0,150.0,10,,,trusted
rush_hour,d10,mlp,0,d10_p13,greedy,1,20.0,10,,,trusted
rush_hour,d10,mlp,0,d10_p13,stochastic,1,20.0,10,,,trusted
rush_hour,d10,cnn,0,d10_p13,greedy,1,19.0,10,,,trusted
rush_hour,d10,cnn,0,d10_p13,stochastic,1,19.1,10,,,trusted
rush_hour,d10,hrep,0,d10_p14,greedy,1,5.0,10,,,trusted
rush_hour,d10,hrep,0,d10_p14,stochastic,1,5.0,10,,,trusted
rush_hour,d10,vrep,0,d10_p14,greedy,1,5.0,10,,,trusted
rush_hour,d10,vrep,0,d10_p14,stochastic,1,5.0,10,,,trusted
rush_hour,d10,gnn,0,d10_p14,greedy,1,5.0,10,,,trusted
rush_hour,d10,gnn,0,d10_p14,stochastic,1,5.0,10,,,trusted
rush_hour,d10,mlp,0,d10_p14,greedy,1,5.0,10,,,trusted
rush_hour,d10,mlp,0,d10_p14,stochastic,1,5.0,10,,,trusted
rush_hour,d10,cnn,0,d10_p14,greedy,1,5.0,10,,,trusted
rush_hour,d10,cnn,0,d10_p14,stochastic,1,5.0,10,,,trusted
rush_hour,d12,hrep,0,d12_p0,greedy,0,,12,,,trusted
rush_hour,d12,hrep,0,d12_p0,stochastic,0,,12,,,trusted
rush_hour,d12,vrep,0,d12_p0,greedy,1,24.0,12,,,trusted
rush_hour,d12,vrep,0,d12_p0,stochastic,1,24.1,12,,,trusted
rush_hour,d12,gnn,0,d12_p0,greedy,0,,12,,,trusted
rush_hour,d12,gnn,0,d12_p0,stochastic,0,,12,,,trusted
rush_hour,d12,mlp,0,d12_p0,greedy,0,,12,,,trusted
rush_hour,d12,mlp,0,d12_p0,stochastic,0,,12,,,trusted
rush_hour,d12,cnn,0,d12_p0,greedy,0,,12,,,trusted
rush_hour,d12,cnn,0,d12_p0,stochastic,0,,12,,,trusted
rush_hour,d12,hrep,0,d12_p1,greedy,1,6.0,12,,,trusted
rush_hour,d12,hrep,0,d12_p1,stochastic,1,6.1,12,,,trusted
rush_hour,d12,vrep,0,d12_p1,greedy,1,6.0,12,,,trusted
rush_hour,d12,vrep,0,d12_p1,stochastic,1,6.1,12,,,trusted
rush_hour,d12,gnn,0,d12_p1,greedy,1,6.0,12,,,trusted
rush_hour,d12,gnn,0,d12_p1,stochastic,1,6.0,12,,,trusted
rush_hour,d12,mlp,0,d12_p1,greedy,1,6.0,12,,,trusted
rush_hour,d12,mlp,0,d12_p1,stochastic,1,6.0,12,,,trusted
rush_hour,d12,cnn,0,d12_p1,greedy,1,6.0,12,,,trusted
rush_hour,d12,cnn,0,d12_p1,stochastic,1,6.0,12,,,trusted
rush_hour,d12,hrep,0,d12_p2,greedy,1,5.0,12,,,trusted
rush_hour,d12,hrep,0,d12_p2,stochastic,1,5.3,12,,,trusted
rush_hour,d12,vrep,0,d12_p2,greedy,1,5.0,12,,,trusted
rush_hour,d12,vrep,0,d12_p2,stochastic,1,5.0,12,,,trusted
rush_hour,d12,gnn,0,d12_p2,greedy,1,5.0,12,,,trusted
rush_hour,d12,gnn,0,d12_p2,stochastic,1,5.0,12,,,trusted
rush_hour,d12,mlp,0,d12_p2,greedy,1,5.0,12,,,trusted
rush_hour,d12,mlp,0,d12_p2,stochastic,1,5.0,12,,,trusted
rush_hour,d12,cnn,0,d12_p2,greedy,1,5.0,12,,,trusted
rush_hour,d12,cnn,0,d12_p2,stochastic,1,5.0,12,,,trusted
rush_hour,d12,hrep,0,d12_p3,greedy,0,,12,,,trusted
rush_hour,d12,hrep,0,d12_p3,stochastic,0,,12,,,trusted
rush_hour,d12,vrep,0,d12_p3,greedy,1,22.0,12,,,trusted
rush_hour,d12,vrep,0,d12_p3,stochastic,1,22.0,12,,,trusted
rush_hour,d12,gnn,0,d12_p3,greedy,0,,12,,,trusted
rush_hour,d12,gnn,0,d12_p3,stochastic,0,,12,,,trusted
rush_hour,d12,mlp,0,d12_p3,greedy,0,,12,,,trusted
rush_hour,d12,mlp,0,d12_p3,stochastic,0,,12,,,trusted
rush_hour,d12,cnn,0,d12_p3,greedy,0,,12,,,trusted
rush_hour,d12,cnn,0,d12_p3,stochastic,0,,12,,,trusted
rush_hour,d12,hrep,0,d12_p4,greedy,1,19.0,12,,,trusted
rush_hour,d12,hrep,0,d12_p4,stochastic,1,19.2,12,,,trusted
rush_hour,d12,vrep,0,d12_p4,greedy,1,22.0,12,,,trusted
rush_hour,d12,vrep,0,d12_p4,stochastic,1,22.0,12,,,trusted
rush_hour,d12,gnn,0,d12_p4,greedy,1,19.0,12,,,trusted
rush_hour,d12,gnn,0,d12_p4,stochastic,1,19.1,12,,,trusted
rush_hour,d12,mlp,0,d12_p4,greedy,1,19.0,12,,,trusted
rush_hour,d12,mlp,0,d12_p4,stochastic,1,19.1,12,,,trusted
rush_hour,d12,cnn,0,d12_p4,greedy,1,19.0,12,,,trusted
rush_hour,d12,cnn,0,d12_p4,stochastic,1,19.3,12,,,trusted
rush_hour,d12,hrep,0,d12_p5,greedy,1,22.0,12,,,trusted
rush_hour,d12,hrep,0,d12_p5,stochastic,1,22.2,12,,,trusted
rush_hour,d12,vrep,0,d12_p5,greedy,0,,12,,,trusted
rush_hour,d12,vrep,0,d12_p5,stochastic,0,,12,,,trusted
rush_hour,d12,gnn,0,d12_p5,greedy,0,,12,,,trusted
rush_hour,d12,gnn,0,d12_p5,stochastic,0,,12,,,trusted
rush_hour,d12,mlp,0,d12_p5,greedy,0,,12,,,trusted
rush_hour,d12,mlp,0,d12_p5,stochastic,0,,12,,,trusted
rush_hour,d12,cnn,0,d12_p5,greedy,0,,12,,,trusted
rush_hour,d12,cnn,0,d12_p5,stochastic,0,,12,,,trusted
rush_hour,d12,hrep,0,d12_p6,greedy,1,14.0,12,,,trusted
rush_hour,d12,hrep,0,d12_p6,stochastic,1,14.0,12,,,trusted
rush_hour,d12,vrep,0,d12_p6,greedy,1,14.0,12,,,trusted
rush_hour,d12,vrep,0,d12_p6,stochastic,1,14.1,12,,,trusted
rush_hour,d12,gnn,0,d12_p6,greedy,1,14.0,12,,,trusted
rush_hour,d12,gnn,0,d12_p6,stochastic,1,14.0,12,,,trusted
rush_hour,d12,mlp,0,d12_p6,greedy,1,14.0,12,,,trusted
rush_hour,d12,mlp,0,d12_p6,stochastic,1,14.0,12,,,trusted
rush_hour,d12,cnn,0,d12_p6,greedy,1,14.0,12,,,trusted
rush_hour,d12,cnn,0,d12_p6,stochastic,1,14.0,12,,,trusted
rush_hour,d12,hrep,0,d12_p7,greedy,0,,12,,,trusted
rush_hour,d12,hrep,0,d12_p7,stochastic,0,,12,,,trusted
rush_hour,d12,vrep,0,d12_p7,greedy,0,,12,,,trusted
rush_hour,d12,vrep,0,d12_p7,stochastic,0,,12,,,trusted
rush_hour,d12,gnn,0,d12_p7,greedy,0,,12,,,trusted
rush_hour,d12,gnn,0,d12_p7,stochastic,0,,12,,,trusted
rush_hour,d12,mlp,0,d12_p7,greedy,0,,12,,,trusted
rush_hour,d12,mlp,0,d12_p7,stochastic,0,,12,,,trusted
rush_hour,d12,cnn,0,d12_p7,greedy,0,,12,,,trusted
rush_hour,d12,cnn,0,d12_p7,stochastic,0,,12,,,trusted
rush_hour,d12,hrep,0,d12_p8,greedy,1,20.0,12,,,trusted
rush_hour,d12,hrep,0,d12_p8,stochastic,1,20.2,12,,,trusted
rush_hour,d12,vrep,0,d12_p8,greedy,1,20.0,12,,,trusted
rush_hour,d12,vrep,0,d12_p8,stochastic,1,20.1,12,,,trusted
rush_hour,d12,gnn,0,d12_p8,greedy,1,21.0,12,,,trusted
rush_hour,d12,gnn,0,d12_p8,stochastic,1,21.0,12,,,trusted
rush_hour,d12,mlp,0,d12_p8,greedy,1,20.0,12,,,trusted
rush_hour,d12,mlp,0,d12_p8,stochastic,1,20.1,12,,,trusted
rush_hour,d12,cnn,0,d12_p8,greedy,1,20.0,12,,,trusted
rush_hour,d12,cnn,0,d12_p8,stochastic,1,20.3,12,,,trusted
rush_hour,d12,hrep,0,d12_p9,greedy,1,19.0,12,,,trusted
rush_hour,d12,hrep,0,d12_p9,stochastic,1,19.3,12,,,trusted
rush_hour,d12,vrep,0,d12_p9,greedy,1,19.0,12,,,trusted
rush_hour,d12,vrep,0,d12_p9,stochastic,1,19.4,12,,,trusted
rush_hour,d12,gnn,0,d12_p9,greedy,0,,12,,,trusted
rush_hour,d12,gnn,0,d12_p9,stochastic,0,,12,,,trusted
rush_hour,d12,mlp,0,d12_p9,greedy,1,19.0,12,,,trusted
